[Sun Oct 04 07:41:14.483998 2015] [mpm_prefork:notice] [pid 1297] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 configured -- resuming normal operations
[Sun Oct 04 07:41:14.484056 2015] [core:notice] [pid 1297] AH00094: Command line: '/usr/sbin/apache2'
[Sun Oct 04 08:16:45.338734 2015] [:error] [pid 3283] [client 127.0.0.1:37591] script '/var/www/html/index.php' not found or unable to stat
[Sun Oct 04 08:16:45.454625 2015] [:error] [pid 3283] [client 127.0.0.1:37591] script '/var/www/html/index.php' not found or unable to stat
[Sun Oct 04 08:16:48.498323 2015] [:error] [pid 3283] [client 127.0.0.1:37591] Error 404 Page Not Found: /petabencana/public/index.php/map/realtime_map
[Sun Oct 04 08:16:52.818177 2015] [:error] [pid 3284] [client 127.0.0.1:37593] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:17:32.838389 2015] [:error] [pid 3755] [client 127.0.0.1:37602] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:17:52.823022 2015] [:error] [pid 3756] [client 127.0.0.1:37603] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:45:14.303404 2015] [:error] [pid 3753] [client 127.0.0.1:38143] Error file_get_contents(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:45:39.502733 2015] [:error] [pid 3757] [client 127.0.0.1:38144] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: HTTP request failed!  in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:45:54.692344 2015] [:error] [pid 3282] [client 127.0.0.1:38147] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: HTTP request failed!  in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:46:14.582186 2015] [:error] [pid 3285] [client 127.0.0.1:38152] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: HTTP request failed!  in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:46:34.712288 2015] [:error] [pid 3284] [client 127.0.0.1:38160] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: HTTP request failed!  in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:46:54.258191 2015] [:error] [pid 3754] [client 127.0.0.1:38163] Error file_get_contents(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:49:34.254593 2015] [:error] [pid 3285] [client 127.0.0.1:38281] Error file_get_contents(): php_network_getaddresses: getaddrinfo failed: Name or service not known in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:50:14.344076 2015] [:error] [pid 3283] [client 127.0.0.1:38337] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:50:34.347046 2015] [:error] [pid 3755] [client 127.0.0.1:38339] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:50:54.286452 2015] [:error] [pid 3756] [client 127.0.0.1:38340] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:51:14.253849 2015] [:error] [pid 3286] [client 127.0.0.1:38346] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:51:34.385397 2015] [:error] [pid 3753] [client 127.0.0.1:38348] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:51:54.264583 2015] [:error] [pid 3757] [client 127.0.0.1:38349] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:52:14.259353 2015] [:error] [pid 3282] [client 127.0.0.1:38350] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:52:34.255596 2015] [:error] [pid 3285] [client 127.0.0.1:38351] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
[Sun Oct 04 08:52:54.255565 2015] [:error] [pid 3754] [client 127.0.0.1:38352] Error file_get_contents(http://www.bmkg.go.id/BMKG_Pusat/Gempabumi_-_Tsunami/Gempabumi/Gempabumi_Terkini.bmkg): failed to open stream: Network is unreachable in /var/www/html/petabencana/panada/vendors/simplehtmldom/simple_html_dom.php line: 75, referer: http://localhost/petabencana/public/index.php/map/realtime
